code,rs_percentile_12m,rs_percentile_3m
HK.00001,82.0,83
HK.00002,72.0,74
HK.00003,52.0,58
HK.00004,54.0,50
HK.00005,85.0,85
HK.00006,76.0,66
HK.00007,55.0,63
HK.00008,68.0,71
HK.00010,65.0,50
HK.00012,68.0,68
HK.00013,25.0,18
HK.00014,73.0,53
HK.00016,83.0,60
HK.00017,74.0,44
HK.00018,28.0,59
HK.00019,77.0,60
HK.00020,34.0,16
HK.00021,28.0,87
HK.00022,1.0,1
HK.00023,68.0,69
HK.00025,64.0,70
HK.00026,60.0,68
HK.00027,29.0,36
HK.00028,32.0,27
HK.00029,40.0,69
HK.00030,24.0,7
HK.00031,68.0,86
HK.00032,59.0,61
HK.00033,22.0,63
HK.00034,84.0,78
HK.00035,36.0,35
HK.00036,57.0,63
HK.00037,70.0,72
HK.00038,66.0,44
HK.00039,3.0,16
HK.00040,61.0,46
HK.00041,74.0,66
HK.00042,83.0,49
HK.00045,47.0,42
HK.00046,27.0,32
HK.00048,92.0,94
HK.00050,67.0,70
HK.00051,62.0,70
HK.00052,26.0,45
HK.00053,56.0,68
HK.00055,30.0,28
HK.00057,63.0,69
HK.00058,89.0,61
HK.00059,55.0,63
HK.00060,43.0,21
HK.00061,21.0,31
HK.00062,56.0,42
HK.00063,28.0,55
HK.00064,81.0,88
HK.00065,7.0,12
HK.00066,67.0,53
HK.00069,37.0,35
HK.00070,34.0,74
HK.00071,63.0,60
HK.00072,42.0,54
HK.00073,63.0,67
HK.00075,74.0,84
HK.00076,9.0,15
HK.00077,62.0,68
HK.00078,53.0,59
HK.00079,14.0,31
HK.00081,79.0,81
HK.00082,58.0,80
HK.00083,75.0,52
HK.00084,37.0,43
HK.00085,36.0,79
HK.00086,72.0,71
HK.00087,73.0,68
HK.00088,73.0,51
HK.00089,68.0,54
HK.00090,38.0,59
HK.00092,50.0,67
HK.00093,25.0,37
HK.00094,80.0,14
HK.00095,14.0,9
HK.00096,32.0,26
HK.00097,41.0,15
HK.00098,48.0,59
HK.00099,61.0,70
HK.00101,57.0,40
HK.00103,24.0,19
HK.00104,58.0,79
HK.00105,62.0,66
HK.00106,66.0,63
HK.00107,77.0,73
HK.00108,89.0,19
HK.00110,94.0,94
HK.00111,88.0,72
HK.00113,64.0,55
HK.00114,73.0,80
HK.00115,92.0,72
HK.00116,69.0,27
HK.00117,99.0,99
HK.00118,70.0,87
HK.00119,75.0,85
HK.00120,5.0,6
HK.00122,33.0,57
HK.00123,40.0,81
HK.00124,50.0,82
HK.00125,23.0,27
HK.00126,32.0,35
HK.00127,43.0,58
HK.00128,82.0,91
HK.00129,16.0,44
HK.00130,80.0,81
HK.00131,57.0,65
HK.00132,29.0,59
HK.00135,43.0,34
HK.00136,8.0,25
HK.00137,45.0,43
HK.00138,7.0,7
HK.00139,2.0,21
HK.00142,29.0,28
HK.00144,58.0,54
HK.00145,48.0,74
HK.00146,38.0,17
HK.00147,5.0,18
HK.00148,94.0,95
HK.00149,62.0,55
HK.00150,43.0,35
HK.00151,23.0,28
HK.00152,20.0,9
HK.00154,44.0,28
HK.00156,81.0,73
HK.00157,39.0,44
HK.00158,50.0,59
HK.00159,18.0,33
HK.00160,47.0,55
HK.00162,63.0,89
HK.00163,36.0,37
HK.00164,81.0,85
HK.00165,29.0,28
HK.00166,19.0,25
HK.00167,97.0,94
HK.00168,49.0,68
HK.00169,52.0,89
HK.00171,12.0,11
HK.00173,47.0,38
HK.00174,33.0,29
HK.00175,69.0,41
HK.00176,55.0,63
HK.00177,67.0,73
HK.00178,87.0,89
HK.00179,71.0,86
HK.00180,40.0,58
HK.00181,78.0,51
HK.00182,67.0,90
HK.00183,35.0,51
HK.00184,52.0,67
HK.00185,12.0,9
HK.00186,34.0,56
HK.00187,25.0,18
HK.00188,65.0,74
HK.00189,85.0,91
HK.00191,85.0,80
HK.00193,38.0,48
HK.00194,63.0,60
HK.00195,55.0,63
HK.00196,45.0,34
HK.00197,57.0,58
HK.00199,98.0,97
HK.00200,27.0,34
HK.00201,57.0,70
HK.00202,11.0,14
HK.00205,93.0,71
HK.00206,84.0,29
HK.00209,92.0,93
HK.00210,41.0,57
HK.00211,52.0,54
HK.00212,68.0,70
HK.00213,61.0,58
HK.00214,27.0,53
HK.00215,68.0,61
HK.00216,53.0,49
HK.00217,62.0,29
HK.00218,15.0,35
HK.00219,75.0,79
HK.00220,39.0,73
HK.00222,27.0,18
HK.00223,63.0,36
HK.00224,32.0,31
HK.00225,50.0,54
HK.00227,12.0,21
HK.00228,31.0,18
HK.00229,61.0,68
HK.00232,86.0,89
HK.00234,46.0,55
HK.00235,24.0,18
HK.00236,71.0,52
HK.00237,68.0,69
HK.00239,63.0,73
HK.00240,84.0,76
HK.00241,11.0,9
HK.00242,31.0,46
HK.00243,94.0,97
HK.00244,34.0,23
HK.00245,36.0,41
HK.00247,53.0,60
HK.00248,64.0,67
HK.00251,51.0,39
HK.00252,57.0,63
HK.00253,72.0,72
HK.00254,92.0,91
HK.00255,61.0,70
HK.00256,2.0,57
HK.00257,80.0,73
HK.00258,27.0,42
HK.00259,92.0,95
HK.00261,9.0,6
HK.00262,72.0,61
HK.00264,79.0,92
HK.00265,81.0,38
HK.00266,47.0,46
HK.00267,76.0,81
HK.00268,6.0,14
HK.00269,44.0,63
HK.00270,77.0,80
HK.00271,51.0,56
HK.00272,14.0,27
HK.00274,65.0,63
HK.00276,37.0,74
HK.00277,45.0,58
HK.00279,14.0,17
HK.00280,69.0,56
HK.00285,31.0,66
HK.00286,55.0,63
HK.00287,70.0,75
HK.00288,72.0,37
HK.00289,78.0,75
HK.00290,96.0,92
HK.00291,44.0,52
HK.00293,76.0,82
HK.00294,54.0,74
HK.00295,83.0,23
HK.00296,29.0,43
HK.00297,62.0,51
HK.00298,36.0,38
HK.00299,55.0,63
HK.00300,58.0,60
HK.00301,84.0,78
HK.00302,6.0,15
HK.00303,35.0,17
HK.00305,29.0,31
HK.00306,69.0,55
HK.00308,57.0,76
HK.00309,15.0,21
HK.00311,88.0,92
HK.00312,22.0,73
HK.00313,25.0,24
HK.00314,3.0,15
HK.00315,65.0,55
HK.00316,65.0,71
HK.00317,58.0,48
HK.00318,86.0,70
HK.00320,51.0,56
HK.00321,84.0,40
HK.00322,46.0,43
HK.00323,35.0,10
HK.00325,5.0,8
HK.00326,96.0,56
HK.00327,11.0,16
HK.00328,3.0,33
HK.00329,29.0,50
HK.00330,4.0,2
HK.00331,51.0,53
HK.00332,20.0,26
HK.00333,20.0,28
HK.00334,74.0,83
HK.00335,49.0,68
HK.00336,60.0,19
HK.00337,28.0,26
HK.00338,26.0,26
HK.00340,62.0,10
HK.00341,14.0,42
HK.00343,16.0,35
HK.00345,20.0,44
HK.00346,33.0,8
HK.00347,12.0,19
HK.00348,3.0,4
HK.00351,93.0,94
HK.00352,86.0,63
HK.00353,75.0,86
HK.00354,14.0,51
HK.00355,72.0,24
HK.00357,4.0,6
HK.00358,88.0,47
HK.00360,59.0,72
HK.00361,23.0,17
HK.00362,55.0,63
HK.00363,67.0,73
HK.00365,97.0,99
HK.00366,51.0,46
HK.00367,32.0,44
HK.00368,96.0,96
HK.00369,71.0,45
HK.00370,1.0,1
HK.00371,67.0,70
HK.00372,41.0,17
HK.00373,72.0,24
HK.00374,47.0,48
HK.00375,76.0,78
HK.00376,19.0,9
HK.00377,85.0,90
HK.00379,92.0,94
HK.00380,47.0,59
HK.00381,3.0,5
HK.00382,2.0,1
HK.00383,78.0,77
HK.00384,43.0,48
HK.00385,10.0,5
HK.00386,47.0,38
HK.00387,73.0,49
HK.00388,56.0,66
HK.00389,3.0,4
HK.00390,33.0,16
HK.00391,57.0,73
HK.00392,44.0,49
HK.00393,64.0,66
HK.00396,92.0,6
HK.00397,20.0,24
HK.00398,54.0,57
HK.00399,1.0,2
HK.00400,84.0,91
HK.00401,93.0,94
HK.00403,42.0,77
HK.00406,24.0,13
HK.00408,81.0,72
HK.00410,23.0,36
HK.00411,68.0,52
HK.00412,1.0,1
HK.00413,18.0,20
HK.00417,41.0,20
HK.00418,26.0,45
HK.00419,75.0,96
HK.00420,75.0,78
HK.00422,23.0,48
HK.00423,48.0,42
HK.00425,80.0,80
HK.00426,90.0,88
HK.00430,53.0,69
HK.00431,55.0,63
HK.00432,71.0,30
HK.00433,81.0,72
HK.00434,8.0,17
HK.00436,72.0,81
HK.00438,17.0,19
HK.00439,8.0,47
HK.00440,80.0,76
HK.00442,34.0,47
HK.00444,55.0,63
HK.00450,39.0,49
HK.00451,85.0,8
HK.00455,14.0,41
HK.00456,76.0,85
HK.00458,45.0,46
HK.00460,22.0,6
HK.00464,18.0,3
HK.00465,99.0,99
HK.00467,37.0,15
HK.00468,55.0,63
HK.00470,,76
HK.00471,0.0,1
HK.00472,77.0,68
HK.00474,96.0,46
HK.00475,41.0,87
HK.00476,23.0,14
HK.00480,52.0,36
HK.00482,60.0,54
HK.00483,68.0,68
HK.00484,43.0,47
HK.00485,75.0,14
HK.00486,23.0,22
HK.00487,7.0,41
HK.00488,85.0,84
HK.00491,26.0,54
HK.00493,19.0,60
HK.00495,55.0,63
HK.00496,18.0,28
HK.00497,65.0,55
HK.00498,7.0,1
HK.00499,89.0,90
HK.00500,21.0,38
HK.00505,53.0,77
HK.00506,46.0,36
HK.00508,49.0,6
HK.00509,55.0,63
HK.00510,58.0,6
HK.00511,21.0,34
HK.00512,12.0,12
HK.00513,79.0,91
HK.00515,21.0,63
HK.00517,64.0,42
HK.00518,49.0,73
HK.00519,52.0,22
HK.00520,3.0,6
HK.00521,75.0,27
HK.00522,96.0,96
HK.00524,98.0,99
HK.00525,71.0,73
HK.00526,90.0,95
HK.00527,81.0,82
HK.00528,51.0,38
HK.00529,46.0,36
HK.00532,91.0,97
HK.00533,58.0,48
HK.00535,6.0,26
HK.00536,77.0,79
HK.00538,65.0,69
HK.00540,80.0,82
HK.00542,89.0,11
HK.00543,44.0,59
HK.00544,83.0,76
HK.00546,22.0,17
HK.00547,10.0,13
HK.00548,49.0,33
HK.00550,99.0,98
HK.00551,52.0,39
HK.00552,45.0,55
HK.00553,34.0,18
HK.00554,23.0,49
HK.00556,74.0,13
HK.00557,7.0,20
HK.00558,13.0,24
HK.00559,73.0,86
HK.00560,39.0,46
HK.00563,36.0,55
HK.00564,44.0,25
HK.00565,95.0,90
HK.00567,96.0,90
HK.00568,88.0,5
HK.00570,16.0,20
HK.00571,41.0,44
HK.00572,25.0,31
HK.00573,30.0,39
HK.00574,30.0,33
HK.00575,8.0,10
HK.00576,59.0,61
HK.00579,42.0,43
HK.00580,90.0,95
HK.00581,39.0,55
HK.00582,2.0,1
HK.00583,64.0,66
HK.00585,98.0,98
HK.00586,62.0,38
HK.00587,15.0,15
HK.00588,42.0,58
HK.00590,35.0,22
HK.00591,28.0,83
HK.00595,97.0,98
HK.00596,2.0,75
HK.00598,70.0,61
HK.00599,26.0,12
HK.00600,,12
HK.00601,70.0,82
HK.00602,34.0,81
HK.00603,40.0,17
HK.00604,36.0,57
HK.00605,19.0,46
HK.00606,58.0,58
HK.00607,96.0,56
HK.00608,29.0,40
HK.00609,38.0,29
HK.00610,59.0,33
HK.00611,76.0,82
HK.00613,90.0,94
HK.00616,89.0,8
HK.00617,20.0,67
HK.00618,92.0,88
HK.00619,86.0,92
HK.00620,8.0,31
HK.00621,61.0,93
HK.00622,97.0,88
HK.00623,45.0,80
HK.00626,70.0,56
HK.00627,79.0,94
HK.00628,94.0,96
HK.00629,70.0,71
HK.00630,93.0,84
HK.00631,59.0,5
HK.00632,16.0,10
HK.00635,66.0,71
HK.00636,32.0,40
HK.00637,67.0,52
HK.00639,41.0,33
HK.00640,72.0,70
HK.00641,88.0,91
HK.00643,31.0,51
HK.00645,76.0,84
HK.00646,14.0,40
HK.00648,98.0,99
HK.00650,95.0,94
HK.00653,2.0,1
HK.00655,83.0,95
HK.00656,41.0,72
HK.00657,51.0,48
HK.00658,85.0,56
HK.00659,70.0,59
HK.00660,97.0,97
HK.00661,77.0,12
HK.00662,63.0,65
HK.00666,72.0,52
HK.00667,21.0,30
HK.00669,74.0,78
HK.00670,46.0,42
HK.00672,23.0,52
HK.00673,88.0,48
HK.00674,46.0,82
HK.00675,62.0,66
HK.00676,52.0,58
HK.00677,59.0,58
HK.00679,99.0,99
HK.00681,43.0,52
HK.00682,45.0,59
HK.00683,58.0,51
HK.00684,29.0,46
HK.00685,62.0,80
HK.00686,21.0,22
HK.00687,80.0,69
HK.00688,71.0,89
HK.00689,89.0,89
HK.00690,29.0,22
HK.00691,9.0,24
HK.00693,75.0,78
HK.00694,9.0,37
HK.00695,91.0,75
HK.00696,32.0,43
HK.00697,37.0,76
HK.00698,10.0,27
HK.00700,24.0,25
HK.00701,5.0,2
HK.00702,55.0,63
HK.00703,14.0,17
HK.00704,70.0,57
HK.00707,53.0,63
HK.00708,55.0,63
HK.00709,59.0,66
HK.00710,44.0,85
HK.00711,57.0,63
HK.00712,16.0,7
HK.00713,28.0,52
HK.00716,19.0,10
HK.00717,38.0,31
HK.00718,39.0,51
HK.00719,35.0,42
HK.00720,89.0,27
HK.00722,69.0,72
HK.00723,50.0,72
HK.00724,55.0,63
HK.00725,89.0,93
HK.00726,35.0,89
HK.00727,22.0,75
HK.00728,50.0,78
HK.00730,53.0,55
HK.00731,95.0,97
HK.00732,52.0,76
HK.00733,19.0,38
HK.00736,60.0,3
HK.00737,61.0,55
HK.00738,75.0,34
HK.00743,53.0,59
HK.00745,99.0,99
HK.00746,50.0,45
HK.00747,85.0,35
HK.00750,35.0,57
HK.00751,84.0,23
HK.00752,40.0,24
HK.00753,24.0,48
