code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,87.0,84,0,0,0.4,0.0265
HK.00002,78.0,77,1,1,0.25,0.1802
HK.00003,69.0,69,0,0,0.6,0.2111
HK.00004,41.0,38,1,44,1.0,0.4476
HK.00005,89.0,87,0,0,0.05,0.0181
HK.00006,76.0,53,1,4,0.55,0.1951
HK.00007,64.0,62,1,11,0.55,0.3312
HK.00008,74.0,78,0,0,0.45,0.0312
HK.00010,52.0,48,1,4,0.95,0.1512
HK.00012,61.0,64,0,0,0.7,0.1626
HK.00013,24.0,56,1,5,0.35,0.6245
HK.00014,72.0,65,1,4,0.55,0.1453
HK.00016,79.0,58,1,1,0.5,0.1294
HK.00017,46.0,32,1,46,1.0,0.438
HK.00018,27.0,25,1,14,0.7,0.5247
HK.00019,86.0,88,0,0,0.2,0.0171
HK.00020,16.0,24,1,51,1.0,0.4877
HK.00021,34.0,47,1,14,0.95,0.6685
HK.00022,2.0,9,1,66,1.0,
HK.00023,75.0,76,0,0,0.5,0.0379
HK.00025,85.0,91,1,1,0.15,0.2487
HK.00026,71.0,72,1,10,0.55,0.1085
HK.00027,45.0,73,1,4,0.35,0.3194
HK.00028,31.0,29,1,8,0.85,0.3794
HK.00029,38.0,54,1,14,0.7,0.3746
HK.00030,63.0,81,1,1,0.2,0.1757
HK.00031,52.0,21,1,15,0.75,
HK.00032,56.0,46,1,14,0.7,0.2439
HK.00033,45.0,62,1,11,0.55,
HK.00034,86.0,75,1,4,0.3,0.1866
HK.00035,40.0,41,1,10,0.65,0.5745
HK.00036,77.0,62,1,11,0.55,
HK.00037,68.0,53,1,9,0.45,0.3924
HK.00038,83.0,94,0,0,0.5,0.1368
HK.00039,20.0,62,1,11,0.55,0.6831
HK.00040,68.0,66,1,13,0.65,0.1209
HK.00041,72.0,58,1,15,0.85,0.0949
HK.00042,27.0,8,1,15,0.95,0.5757
HK.00045,52.0,57,1,1,0.6,0.3292
HK.00046,49.0,70,1,3,0.4,0.5117
HK.00048,93.0,88,0,0,0.35,
HK.00050,69.0,58,1,12,0.6,0.144
HK.00051,69.0,56,1,11,0.55,0.4039
HK.00052,61.0,81,1,7,0.35,0.5492
HK.00053,67.0,70,1,4,0.6,0.3486
HK.00055,30.0,36,1,17,0.95,0.5637
HK.00057,58.0,48,1,15,0.9,0.1818
HK.00058,86.0,37,1,11,0.7,
HK.00059,64.0,62,1,11,0.55,
HK.00060,56.0,37,1,11,0.55,0.4437
HK.00061,33.0,40,0,0,0.55,0.536
HK.00062,62.0,56,1,9,0.5,0.2202
HK.00063,16.0,10,1,17,0.85,0.7065
HK.00064,85.0,90,0,0,0.35,0.0807
HK.00065,8.0,17,1,73,1.0,0.8871
HK.00066,77.0,72,1,1,0.45,0.1141
HK.00068,,1,1,39,1.0,
HK.00069,47.0,45,1,13,0.65,0.4721
HK.00070,56.0,60,1,1,0.6,0.4439
HK.00071,68.0,55,1,10,0.55,0.1932
HK.00072,41.0,32,1,9,0.65,0.387
HK.00073,87.0,92,0,0,0.5,0.4938
HK.00075,53.0,32,1,15,0.75,
HK.00076,23.0,46,0,0,0.65,0.7826
HK.00077,79.0,84,1,3,0.2,0.4058
HK.00078,21.0,16,1,37,1.0,0.908
HK.00079,50.0,84,1,1,0.4,0.5547
HK.00081,76.0,70,0,0,0.85,0.1592
HK.00082,54.0,69,1,9,0.7,0.558
HK.00083,71.0,47,1,42,1.0,0.1404
HK.00084,59.0,71,1,11,0.55,0.5091
HK.00085,26.0,34,1,16,0.95,0.4835
HK.00086,73.0,69,1,12,0.65,0.0828
HK.00087,83.0,84,0,0,0.4,0.0
HK.00088,58.0,34,1,19,0.95,0.1787
HK.00089,48.0,37,1,1,0.2,0.3515
HK.00090,36.0,76,1,3,0.35,
HK.00092,44.0,28,1,12,0.6,0.5696
HK.00093,54.0,86,1,6,0.45,0.4986
HK.00094,51.0,24,1,1,0.8,
HK.00095,47.0,96,0,0,0.25,0.8015
HK.00096,44.0,41,1,6,0.6,0.5816
HK.00097,36.0,48,1,2,0.55,
HK.00098,50.0,41,1,16,0.85,0.3641
HK.00099,81.0,90,0,0,0.4,0.3252
HK.00100,,0,1,22,1.0,0.8338
HK.00101,49.0,48,1,4,0.95,0.19
HK.00103,12.0,18,1,16,0.8,0.5551
HK.00104,75.0,78,1,8,0.55,0.1553
HK.00105,71.0,72,1,7,0.35,0.2122
HK.00106,69.0,62,1,11,0.55,
HK.00107,55.0,43,1,34,1.0,0.1449
HK.00108,69.0,9,1,15,0.8,
HK.00110,96.0,97,0,0,0.15,0.1689
HK.00111,84.0,71,0,0,0.6,
HK.00113,80.0,86,0,0,0.15,0.1047
HK.00114,83.0,85,1,3,0.4,0.0876
HK.00115,85.0,7,1,27,1.0,0.3722
HK.00116,73.0,85,0,0,0.45,0.1519
HK.00117,99.0,98,1,14,0.85,
HK.00118,58.0,26,1,22,1.0,
HK.00119,40.0,21,1,36,1.0,0.3296
HK.00120,10.0,19,1,1,0.85,
HK.00122,46.0,69,1,2,0.3,0.5344
HK.00123,44.0,48,1,26,1.0,0.5652
HK.00124,39.0,35,1,28,1.0,0.6674
HK.00125,45.0,57,1,11,0.55,0.6729
HK.00126,35.0,27,1,12,0.8,0.6661
HK.00127,43.0,45,1,12,0.75,0.4186
HK.00128,93.0,98,0,0,0.55,
HK.00129,24.0,29,1,6,0.6,0.7048
HK.00130,75.0,30,1,2,0.5,
HK.00131,69.0,72,1,9,0.6,0.4734
HK.00132,36.0,52,1,12,0.65,0.6534
HK.00135,58.0,71,0,0,0.65,0.3507
HK.00136,15.0,44,1,5,0.45,0.5986
HK.00137,74.0,90,0,0,0.5,0.4409
HK.00138,5.0,6,1,7,0.85,0.7981
HK.00139,42.0,96,0,0,0.6,
HK.00142,57.0,82,0,0,0.25,0.1495
HK.00144,69.0,83,0,0,0.75,0.0737
HK.00145,40.0,31,1,13,0.7,
HK.00146,51.0,43,1,11,0.55,0.2158
HK.00147,4.0,10,1,28,1.0,
HK.00148,92.0,6,1,15,0.75,0.6636
HK.00149,76.0,70,0,0,0.6,0.1879
HK.00150,51.0,48,1,8,0.45,0.4726
HK.00151,21.0,19,1,17,0.9,0.479
HK.00152,37.0,73,0,0,0.55,0.2879
HK.00154,20.0,22,1,78,1.0,0.4335
HK.00156,79.0,64,1,11,0.55,0.151
HK.00157,51.0,57,1,9,0.55,0.378
HK.00158,58.0,67,1,11,0.55,0.3692
HK.00159,32.0,48,1,4,0.55,
HK.00160,22.0,11,1,26,1.0,0.5894
HK.00162,28.0,14,1,26,1.0,
HK.00163,24.0,21,1,20,1.0,0.7228
HK.00164,71.0,28,1,17,0.85,0.5715
HK.00165,27.0,73,0,0,0.8,0.4863
HK.00166,22.0,43,1,1,0.75,0.6675
HK.00167,95.0,29,1,10,0.5,
HK.00168,54.0,68,1,12,0.6,0.3287
HK.00169,35.0,16,1,20,1.0,
HK.00171,8.0,75,0,0,0.95,
HK.00173,49.0,43,1,18,0.9,0.2434
HK.00174,69.0,80,1,6,0.4,0.4553
HK.00175,55.0,49,1,5,0.7,0.2242
HK.00176,64.0,62,1,11,0.55,0.7136
HK.00177,74.0,68,1,17,0.85,0.0935
HK.00178,88.0,84,1,8,0.4,0.1333
HK.00179,18.0,7,1,13,0.85,0.5759
HK.00180,62.0,74,0,0,0.8,0.552
HK.00181,57.0,22,1,19,0.95,0.2239
HK.00182,67.0,32,1,17,0.85,0.5574
HK.00183,33.0,52,1,6,0.35,0.6063
HK.00184,71.0,76,1,1,0.55,0.2391
HK.00185,13.0,12,1,15,0.85,0.8703
HK.00186,7.0,2,1,12,0.6,
HK.00187,14.0,14,1,21,1.0,0.4859
HK.00188,72.0,84,0,0,0.65,0.1915
HK.00189,80.0,19,1,15,0.75,0.4633
HK.00191,32.0,6,1,20,1.0,0.4274
HK.00193,49.0,41,1,7,0.65,0.6779
HK.00194,67.0,57,1,12,0.65,0.2793
HK.00195,64.0,62,1,11,0.55,0.3312
HK.00196,14.0,11,1,12,0.95,0.4945
HK.00197,71.0,69,1,3,0.45,0.5636
HK.00199,98.0,96,1,12,0.6,
HK.00200,25.0,47,1,14,0.95,0.5155
HK.00201,54.0,51,1,12,0.65,0.4494
HK.00202,10.0,11,1,18,0.95,
HK.00205,90.0,38,1,15,0.75,
HK.00206,32.0,6,1,14,0.9,0.571
HK.00209,97.0,93,0,0,0.35,
HK.00210,36.0,27,1,16,0.85,0.3672
HK.00211,60.0,81,1,8,0.4,0.1599
HK.00212,70.0,64,1,9,0.5,0.1627
HK.00213,58.0,30,1,14,0.9,0.5906
HK.00214,16.0,14,1,29,1.0,0.6925
HK.00215,74.0,74,1,4,0.35,0.1166
HK.00216,30.0,17,1,15,0.9,0.5182
HK.00217,43.0,26,1,13,0.65,0.5163
HK.00218,20.0,65,0,0,0.6,
HK.00219,74.0,55,1,6,0.5,0.395
HK.00220,55.0,76,1,4,0.3,0.2793
HK.00222,83.0,96,1,1,0.15,0.1754
HK.00223,19.0,7,1,14,0.95,0.7684
HK.00224,46.0,69,0,0,0.5,0.4879
HK.00225,60.0,60,1,11,0.55,0.2014
HK.00227,15.0,36,1,5,0.75,
HK.00228,30.0,27,1,20,1.0,0.7493
HK.00229,60.0,53,1,13,0.65,0.2951
HK.00232,97.0,98,0,0,0.0,
HK.00234,39.0,35,1,3,0.7,0.4492
HK.00235,14.0,20,1,13,0.8,0.585
HK.00236,60.0,43,1,11,0.55,0.2204
HK.00237,70.0,52,1,6,0.45,0.2114
HK.00239,62.0,58,1,7,0.45,0.2755
HK.00240,76.0,45,1,23,1.0,0.1663
HK.00241,15.0,39,1,9,0.8,0.5278
HK.00242,29.0,26,1,20,1.0,0.5587
HK.00243,88.0,66,0,0,0.9,
HK.00244,55.0,37,1,14,0.7,0.2671
HK.00245,65.0,47,0,0,0.65,0.4452
HK.00247,62.0,62,1,11,0.55,0.2378
HK.00248,52.0,32,1,8,0.85,0.3526
HK.00251,61.0,54,1,14,0.7,0.4268
HK.00252,65.0,62,1,11,0.55,0.6017
HK.00253,67.0,48,1,14,0.7,0.3953
HK.00254,2.0,0,1,20,1.0,
HK.00255,70.0,64,1,6,0.35,0.1601
HK.00256,17.0,92,0,0,0.25,0.9406
HK.00257,74.0,56,0,0,0.7,0.1029
HK.00258,44.0,77,1,4,0.2,0.3946
HK.00259,71.0,9,1,16,0.9,0.4574
HK.00261,26.0,59,0,0,0.3,0.9141
HK.00262,62.0,46,1,17,0.85,0.275
HK.00264,77.0,89,1,15,0.75,
HK.00265,58.0,30,1,12,0.6,
HK.00266,55.0,51,1,11,0.55,0.3728
HK.00267,72.0,65,0,0,0.9,0.1064
HK.00268,9.0,71,0,0,0.6,0.6257
HK.00269,61.0,62,1,11,0.55,
HK.00270,81.0,80,0,0,0.5,0.0255
HK.00271,43.0,36,1,17,0.85,0.4112
HK.00272,25.0,57,1,2,0.25,0.5296
HK.00274,64.0,62,1,11,0.55,
HK.00276,44.0,75,0,0,0.5,0.4429
HK.00277,26.0,9,1,11,0.55,0.6641
HK.00279,9.0,14,1,16,0.9,
HK.00280,85.0,93,0,0,0.05,0.072
HK.00285,25.0,56,0,0,0.8,0.6467
HK.00286,64.0,62,1,11,0.55,0.7149
HK.00287,70.0,65,1,11,0.55,0.1975
HK.00288,63.0,35,1,14,0.75,0.1782
HK.00289,73.0,60,0,0,0.7,0.0898
HK.00290,9.0,2,1,41,1.0,0.8211
HK.00291,52.0,72,0,0,0.4,0.3744
HK.00293,86.0,91,0,0,0.25,0.0157
HK.00294,78.0,91,0,0,0.05,0.4787
HK.00295,46.0,21,1,3,0.75,
HK.00296,39.0,73,0,0,0.6,0.5851
HK.00297,50.0,52,1,26,1.0,0.2499
HK.00298,41.0,31,1,18,0.9,0.4062
HK.00299,64.0,62,1,11,0.55,
HK.00300,84.0,90,0,0,0.0,0.0
HK.00301,98.0,99,0,0,0.0,0.0058
HK.00302,8.0,33,0,0,0.95,0.8486
HK.00303,46.0,40,1,4,0.65,0.2313
HK.00305,26.0,26,1,16,0.95,
HK.00306,82.0,80,1,4,0.4,0.1233
HK.00308,44.0,68,0,0,0.7,
HK.00309,18.0,26,1,2,0.7,
HK.00311,82.0,11,1,21,1.0,0.4375
HK.00312,30.0,57,1,7,0.7,
HK.00313,41.0,59,0,0,0.5,0.8196
HK.00314,11.0,50,1,3,0.15,0.8614
HK.00315,70.0,64,1,12,0.65,0.0778
HK.00316,81.0,89,0,0,0.2,0.0279
HK.00317,30.0,19,1,9,0.95,0.5057
HK.00318,93.0,90,1,8,0.4,
HK.00320,56.0,59,1,11,0.55,0.2925
HK.00321,81.0,47,1,13,0.7,0.1364
HK.00322,73.0,85,0,0,0.2,0.1992
HK.00323,20.0,26,1,50,1.0,0.4214
HK.00325,10.0,45,1,2,0.55,0.7578
HK.00326,94.0,88,1,1,0.35,
HK.00327,31.0,84,0,0,0.15,0.4417
HK.00328,2.0,18,1,8,0.7,
HK.00329,6.0,2,1,23,1.0,0.8552
HK.00330,6.0,40,1,7,0.95,
HK.00331,54.0,50,1,12,0.6,0.2684
HK.00332,5.0,2,1,12,0.9,
HK.00333,27.0,41,1,6,0.6,0.5818
HK.00334,78.0,30,1,21,1.0,0.322
HK.00335,60.0,65,1,11,0.55,0.4585
HK.00336,27.0,19,1,29,1.0,0.3554
HK.00337,10.0,13,1,26,1.0,
HK.00338,42.0,65,0,0,0.85,0.2984
HK.00340,25.0,56,0,0,0.75,0.4375
HK.00341,74.0,91,1,1,0.1,0.4987
HK.00343,25.0,31,1,14,0.75,0.6308
HK.00345,47.0,74,1,8,0.4,0.59
HK.00346,22.0,28,1,4,0.9,
HK.00347,17.0,42,0,0,0.95,0.5057
HK.00348,18.0,32,1,1,0.85,0.7497
HK.00351,91.0,86,1,4,0.55,
HK.00352,95.0,62,1,11,0.55,
HK.00353,61.0,34,1,12,0.85,0.5631
HK.00354,26.0,83,0,0,0.8,0.6159
HK.00355,43.0,77,0,0,0.85,0.7345
HK.00357,8.0,33,0,0,0.95,0.636
HK.00358,84.0,65,0,0,0.85,0.2234
HK.00360,26.0,13,1,36,1.0,0.6968
HK.00361,17.0,56,1,1,0.35,
HK.00362,64.0,62,1,11,0.55,
HK.00363,66.0,70,0,0,0.8,0.0838
HK.00365,90.0,26,1,33,1.0,
HK.00366,46.0,48,1,15,0.75,0.2833
HK.00367,27.0,28,1,15,0.75,0.5538
HK.00368,98.0,97,1,14,0.7,
HK.00369,78.0,54,1,15,0.75,0.2864
HK.00370,2.0,8,1,12,0.65,
HK.00371,54.0,42,1,1,0.9,0.258
HK.00372,56.0,48,1,14,0.7,
HK.00373,53.0,33,1,21,1.0,0.3585
HK.00374,69.0,75,1,3,0.35,0.25
HK.00375,83.0,75,1,3,0.5,0.126
HK.00376,6.0,16,1,70,1.0,
HK.00377,94.0,97,0,0,0.15,
HK.00379,43.0,9,1,24,1.0,
HK.00380,35.0,20,1,17,0.85,0.3515
HK.00381,1.0,5,1,63,1.0,
HK.00382,3.0,11,1,69,1.0,0.8337
HK.00383,34.0,25,1,36,1.0,0.3997
HK.00384,29.0,30,1,28,1.0,0.3603
HK.00385,18.0,27,1,12,0.6,0.5036
HK.00386,66.0,72,0,0,0.55,0.3616
HK.00387,83.0,76,1,12,0.6,0.1627
HK.00388,59.0,76,0,0,0.2,0.0781
HK.00389,3.0,3,1,14,0.75,0.8181
HK.00390,50.0,70,0,0,0.75,0.2944
HK.00391,73.0,67,1,4,0.5,0.5354
HK.00392,66.0,84,0,0,0.05,0.1306
HK.00393,69.0,58,1,12,0.6,0.0939
HK.00396,96.0,89,0,0,0.6,
HK.00397,31.0,50,0,0,0.7,0.8016
HK.00398,68.0,65,1,12,0.6,0.2081
HK.00399,6.0,37,1,11,0.55,
HK.00400,92.0,93,1,10,0.5,0.3283
HK.00401,63.0,30,1,14,0.9,
HK.00403,60.0,66,0,0,0.65,0.4026
HK.00406,22.0,12,1,27,1.0,0.6828
HK.00408,88.0,89,0,0,0.2,0.0087
HK.00410,20.0,26,1,42,1.0,0.6638
HK.00411,59.0,49,1,11,0.65,0.1195
HK.00412,1.0,2,1,86,1.0,
HK.00413,19.0,23,1,8,0.6,0.6805
HK.00417,32.0,59,1,4,0.55,
HK.00418,40.0,57,1,4,0.6,0.5644
HK.00419,82.0,75,1,9,0.55,
HK.00420,66.0,39,1,11,0.55,0.2336
HK.00422,39.0,78,0,0,0.3,0.6816
HK.00423,50.0,45,1,11,0.7,0.3282
HK.00425,48.0,29,1,12,0.85,0.3421
HK.00426,90.0,40,1,9,0.65,
HK.00430,47.0,33,1,15,0.75,0.2904
HK.00432,69.0,30,1,21,1.0,0.3379
HK.00433,61.0,29,1,13,0.7,
HK.00434,7.0,51,0,0,0.85,0.7434
HK.00436,32.0,18,1,27,1.0,
HK.00438,14.0,32,1,18,0.95,0.7276
HK.00439,13.0,50,0,0,0.9,0.7738
HK.00440,85.0,85,0,0,0.1,0.0
