code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,84.0,55,1,9,0.75
HK.00002,79.0,64,0,0,0.4
HK.00003,73.0,72,0,0,0.65
HK.00004,46.0,71,0,0,0.4
HK.00005,88.0,68,1,1,0.5
HK.00006,77.0,61,0,0,0.5
HK.00007,66.0,50,1,8,0.95
HK.00008,59.0,32,1,23,1.0
HK.00010,43.0,33,1,28,1.0
HK.00012,64.0,73,0,0,0.65
HK.00013,51.0,84,0,0,0.25
HK.00014,55.0,26,1,18,0.9
HK.00016,77.0,63,0,0,0.7
HK.00017,44.0,58,0,0,0.55
HK.00018,23.0,17,1,5,0.75
HK.00019,90.0,86,0,0,0.0
HK.00020,26.0,65,1,1,0.4
HK.00021,31.0,85,1,3,0.4
HK.00022,2.0,6,1,90,1.0
HK.00023,86.0,89,0,0,0.0
HK.00025,82.0,69,1,8,0.95
HK.00026,70.0,58,0,0,0.8
HK.00027,63.0,82,0,0,0.25
HK.00028,33.0,38,1,5,0.9
HK.00029,28.0,18,1,38,1.0
HK.00030,67.0,68,1,1,0.8
HK.00031,39.0,14,1,6,0.9
HK.00032,56.0,37,1,1,0.95
HK.00033,52.0,50,1,8,0.95
HK.00034,80.0,42,1,8,0.95
HK.00035,40.0,34,1,8,0.95
HK.00036,76.0,50,1,8,0.95
HK.00037,67.0,46,1,1,0.75
HK.00038,81.0,87,0,0,0.45
HK.00039,20.0,50,1,8,0.95
HK.00040,67.0,46,1,8,0.95
HK.00041,71.0,63,0,0,0.6
HK.00042,17.0,12,1,39,1.0
HK.00045,53.0,44,0,0,0.65
HK.00046,59.0,69,0,0,0.65
HK.00048,92.0,57,0,0,0.8
HK.00050,71.0,64,0,0,0.8
HK.00051,61.0,53,1,1,0.7
HK.00052,75.0,79,0,0,0.35
HK.00053,61.0,57,1,1,0.4
HK.00055,42.0,55,1,2,0.7
HK.00057,56.0,57,0,0,0.75
HK.00058,85.0,56,1,1,0.4
HK.00059,66.0,50,1,8,0.95
HK.00060,82.0,89,0,0,0.25
HK.00061,11.0,17,1,23,1.0
HK.00062,57.0,41,1,7,0.9
HK.00063,9.0,3,1,1,0.9
HK.00064,84.0,68,0,0,0.1
HK.00065,52.0,95,0,0,0.1
HK.00066,75.0,60,1,1,0.6
HK.00068,,10,1,7,0.65
HK.00069,53.0,57,1,6,0.65
HK.00070,40.0,66,0,0,0.6
HK.00071,68.0,59,0,0,0.75
HK.00072,50.0,37,1,1,0.25
HK.00073,44.0,9,1,14,0.9
HK.00075,41.0,10,1,5,0.55
HK.00076,49.0,87,0,0,0.7
HK.00077,87.0,90,0,0,0.3
HK.00078,30.0,57,0,0,0.6
HK.00079,85.0,84,1,1,0.1
HK.00081,77.0,87,0,0,0.15
HK.00082,39.0,27,1,33,1.0
HK.00083,63.0,53,0,0,0.75
HK.00084,73.0,56,1,2,0.65
HK.00085,15.0,23,1,40,1.0
HK.00086,65.0,46,1,1,0.85
HK.00087,85.0,80,0,0,0.0
HK.00088,53.0,36,1,2,0.95
HK.00089,48.0,31,1,9,0.8
HK.00090,28.0,17,1,27,1.0
HK.00092,56.0,74,0,0,0.6
HK.00093,22.0,7,1,6,0.9
HK.00094,46.0,13,1,20,1.0
HK.00095,30.0,40,1,1,0.75
HK.00096,50.0,62,1,4,0.65
HK.00097,46.0,42,1,6,0.85
HK.00098,37.0,24,1,5,0.75
HK.00099,21.0,2,1,23,1.0
HK.00100,,69,1,2,0.4
HK.00101,45.0,52,1,1,0.9
HK.00103,20.0,55,0,0,0.45
HK.00104,78.0,71,0,0,0.4
HK.00105,67.0,42,1,8,0.95
HK.00106,59.0,50,1,8,0.95
HK.00107,51.0,43,0,0,0.9
HK.00108,48.0,54,0,0,0.55
HK.00110,97.0,97,0,0,0.1
HK.00111,75.0,42,0,0,0.85
HK.00113,83.0,66,1,7,0.75
HK.00114,79.0,64,1,2,0.65
HK.00115,49.0,4,1,52,1.0
HK.00116,92.0,96,0,0,0.05
HK.00117,98.0,68,1,6,0.7
HK.00118,31.0,21,1,9,0.9
HK.00119,24.0,23,1,10,0.95
HK.00120,12.0,48,1,2,0.65
HK.00122,55.0,63,1,1,0.5
HK.00123,38.0,67,0,0,0.65
HK.00124,36.0,43,0,0,0.9
HK.00125,34.0,31,1,5,0.6
HK.00126,20.0,8,1,37,1.0
HK.00127,39.0,35,1,36,1.0
HK.00128,66.0,50,1,8,0.95
HK.00129,25.0,24,1,16,0.95
HK.00130,61.0,23,1,8,0.85
HK.00131,70.0,44,1,33,1.0
HK.00132,26.0,19,1,36,1.0
HK.00135,71.0,79,0,0,0.7
HK.00136,28.0,73,0,0,0.65
HK.00137,63.0,34,1,10,0.5
HK.00138,4.0,7,1,8,0.95
HK.00139,17.0,79,0,0,0.8
HK.00142,48.0,41,1,18,0.9
HK.00144,73.0,81,0,0,0.15
HK.00145,58.0,72,1,1,0.2
HK.00146,52.0,34,1,36,1.0
HK.00147,9.0,90,0,0,0.4
HK.00148,88.0,13,1,1,0.95
HK.00149,56.0,32,1,6,0.8
HK.00150,56.0,42,1,3,0.9
HK.00151,20.0,20,1,41,1.0
HK.00152,25.0,16,1,20,1.0
HK.00154,21.0,20,1,6,0.75
HK.00156,82.0,47,0,0,0.85
HK.00157,48.0,32,1,8,0.9
HK.00158,62.0,59,1,1,0.55
HK.00159,6.0,1,1,28,1.0
HK.00160,17.0,17,1,4,0.85
HK.00162,28.0,63,0,0,0.25
HK.00163,23.0,16,1,44,1.0
HK.00164,55.0,10,1,41,1.0
HK.00165,24.0,37,1,7,0.75
HK.00166,24.0,27,1,1,0.95
HK.00167,96.0,22,1,1,0.65
HK.00168,45.0,27,1,19,0.95
HK.00169,32.0,34,1,1,0.85
HK.00171,6.0,65,0,0,0.25
HK.00173,53.0,72,0,0,0.4
HK.00174,34.0,6,1,31,1.0
HK.00175,71.0,48,1,1,0.85
