ticker,raw_score,rs_percentile
A,-0.10640575974950474,37
AA,-0.01899582634034202,69
AACB,-0.06969536554991489,53
AACBU,-0.08426687270460055,44
AACG,0.039087126136421804,80
AAL,0.08984059932012224,85
AAME,-0.21565828920326802,16
AAMI,0.1488634309109274,89
AAOI,0.7516398802597561,97
AAON,0.35905154820830804,94
AAP,-0.02757727506313956,67
AAPG,-0.22368500864461044,15
AAPL,0.07549036644202027,84
AARD,-0.2643483428130906,11
AAT,0.043715453397910733,80
AAUC,-0.23537442802941438,13
AB,-0.06985390599662782,53
ABAT,-0.11819048997564047,34
ABBV,-0.03424133304358209,66
ABCB,-0.03312106498471022,66
ABCL,0.3474468671937953,94
ABEO,-0.00340230680912898,73
ABEV,0.028396085019097933,78
ABG,-0.16630617952111776,23
ABLV,0.3096843801211961,94
ABM,-0.08571661083473749,44
ABNB,-0.09891385016157322,39
ABOS,-0.16569916102051313,23
ABR,-0.317235771088398,7
ABSI,0.5187077011010042,96
ABT,-0.18948239291000207,19
ABTC,-0.07924262577367301,46
ABTS,-0.5986559270640079,2
ABUS,-0.06773105675824213,54
ABVC,-0.19008916143491794,19
ABVE,-0.3943224216024371,4
ABVX,-0.03083942513858362,67
ABX,-0.0914121371922102,42
ACA,-0.04085304448861067,64
ACAD,-0.11640594850406777,34
ACB,-0.09824067242546153,39
ACCL,-0.02804093824439751,67
ACCO,0.08565797690300546,84
ACCS,-0.23960397656902188,13
ACDC,0.07899799575026915,84
ACEL,-0.0721045761137644,51
ACET,-0.02703672727467365,67
ACFN,-0.14317809948784016,28
ACGL,-0.07836734711393052,47
ACGLN,-0.11095657285441327,35
ACGLO,-0.10288299709281443,38
ACH,-0.08036897878468452,46
ACHC,-0.09511499221953716,41
ACHR,-0.08489110832930549,44
ACHV,0.021752851024607153,77
ACI,-0.12129704809309014,33
ACIC,-0.1279134754767833,31
ACIU,-0.08942803219733383,43
ACIW,-0.07774536351629845,48
ACLS,0.38072351517135067,95
ACM,-0.2737321221210469,10
ACMR,0.2723416250596401,93
ACN,-0.17471395507833393,21
ACNB,0.03296383700801074,79
ACNT,-0.06613694526843382,55
ACOG,-0.16186185982392143,24
ACON,-0.07102796738094078,52
ACP,-0.06483194226565274,56
ACR,-0.08480732300928079,44
ACRE,-0.10948533241991792,36
ACRS,0.0995983880925229,85
ACRV,-0.054253128563159114,59
ACT,-0.04437206928699103,63
ACTG,-0.1173857657885803,34
ACTU,-0.22819566192304702,14
ACU,-0.12095383346600828,33
ACV,-0.012108557395508243,71
ACVA,0.060542216835050525,82
ACXP,-0.28300916739718873,9
AD,0.004802396634090905,74
ADAG,-0.045404723129604384,62
ADAM,0.07560182877043957,84
ADAML,-0.04624779527577194,62
ADAMM,-0.04705850481423177,62
ADAMN,-0.03233541383290339,66
ADAMZ,-0.10959595317726452,36
ADBE,-0.11682015248872837,34
ADC,-0.0854973025547137,44
ADCT,-0.24482631642129582,12
ADEA,-0.04506204615977903,62
ADGM,-0.4043093101136305,4
ADI,0.011801196228707872,76
ADIL,0.21705936825740535,91
ADM,0.05211304081666139,81
ADMA,-0.4000302387830175,4
ADNT,-0.11759924490661536,34
ADP,-0.01082800669948121,72
ADPT,-0.102687456684539,38
ADSE,-0.02952995187451722,67
ADSK,-0.09023484466991158,42
ADT,-0.0999476825923949,39
ADTN,0.02242143797474304,77
ADTX,-0.9905209077346832,0
ADUR,0.17760472973043806,90
ADUS,-0.14423234804583757,28
ADV,0.7047160875313982,97
ADVB,-0.18856411955742647,19
ADX,0.0032738822898432246,74
ADXN,-0.017598682182817328,70
AEBI,-0.07944989121558046,46
AEC,-0.33411293497757005,6
AEE,-0.06620850380162234,55
AEF,0.04496131707772466,80
AEG,0.06371615332114856,82
AEHL,0.8367139530691724,98
AEHR,0.6714323639984221,97
AEI,-0.24389406128961244,12
AEIS,-0.15884872637564484,25
AEM,-0.19689813063601258,18
AEMD,-0.13679622567637806,29
AENT,-0.16745436532553593,23
AEO,-0.20766905337854802,16
AEON,-0.3448302320241015,6
AEP,-0.07424242824034465,50
AER,-0.07612495979350237,49
AERO,-0.058300320724564286,58
AERT,0.5462840958787434,96
AES,-0.06660445981623841,55
AESI,0.3462805434922703,94
AEVA,0.3421388304328266,94
AEXA,-0.038455129439940915,64
AEYE,0.032590859791831,79
AFB,-0.06774133045751145,54
AFBI,-0.004567213060704067,73
AFCG,0.22226368434180022,92
AFG,-0.01346908150929893,71
AFJK,0.02344581580624558,78
AFJKU,0.10118851045015713,86
AFL,-0.021380030169304412,69
AFRI,-0.04429742929755068,63
AFRM,0.1259247724157319,87
AFYA,-0.12816724812534966,31
AG,-0.14604871886066878,27
AGAE,0.44853335264797717,95
AGCC,-0.05359754569756246,60
AGCO,-0.14436530730137576,27
AGD,-0.012239781087604804,71
AGEN,-0.21371798565611383,16
AGI,-0.1861170120726911,19
AGIG,-0.32276148364170676,7
AGIO,-0.03533277346265502,65
AGL,4.013275020974773,99
AGM,0.04332895615529615,80
AGMH,-0.005903085317040993,73
AGNC,-0.1026436955584887,38
AGNCL,-0.07044852278887184,53
AGNCM,-0.06659654940344498,55
AGNCN,-0.060273162424177795,57
AGNCO,-0.06195494308804095,57
AGNCP,-0.05882914812440487,58
AGNCZ,-0.07451784468450073,50
AGNT,-0.3089081493823123,8
AGO,-0.13230163202321127,30
AGPU,0.8010390129561047,98
AGRO,0.03814020879080633,79
AGRZ,-0.3055259705075418,8
AGX,0.12917448888151473,88
AGYS,0.033395058410660455,79
AHCO,-0.15563523230960497,25
AHG,-0.28408103324409767,9
AHMA,-0.4307746215765375,4
AHR,-0.044734764242854726,62
AHRT,0.09845829317617809,85
AHT,-0.12641235182378222,32
AI,-0.08061965008793376,46
AIFC,-0.28283926739529275,9
AIFF,0.06667212358338052,83
AIFU,0.40141422184753195,95
AIG,-0.05041596699006137,61
AIHS,-0.17754815313433883,21
AII,-0.17164437151432013,22
AIIA,-0.07389571550988998,50
AIIO,1.9579966145404846,99
AIM,-0.7310503601654863,1
AIMD,-0.11908181562697115,33
AIN,0.03395602473353958,79
AIO,0.04477684577514866,80
AIOS,0.6340106970343605,97
AIOT,-0.08961305305782716,43
AIP,0.8211417652080056,98
AIR,-0.09213741860000807,42
AIRE,-0.7691543064264509,1
AIRG,0.12617689812810245,87
AIRI,-0.12993516153291695,31
AIRJ,0.14811229751337873,89
AIRO,-0.39131516715757664,5
AIRS,1.0303639770794242,98
AIRT,-0.12471982678438666,32
AIRTP,-0.0712726329316296,52
AISP,-0.15389852144385488,26
AIT,0.017405893967941746,77
AIV,-0.07309861310576804,51
AIXC,-0.10602604282345833,37
