ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.06406508060123686,74,0,0,0.3
AA,-0.1759659445988125,16,1,9,0.45
AACB,-0.019867369332535793,51,0,0,0.6
AACBU,-0.018770957891615606,51,1,9,0.7
AACG,-0.07801558306550646,32,1,19,0.95
AAL,0.2836816002728637,92,0,0,0.1
AAME,-0.29450509187617,7,1,36,1.0
AAMI,0.07844583048884765,77,1,3,0.15
AAOI,-0.0088872916711236,55,1,5,0.5
AAON,0.183343334581521,88,1,1,0.35
AAP,-0.06944537545396559,33,1,2,0.2
AAPG,-0.26264469337347324,8,1,45,1.0
AAPL,0.01044541165143862,61,1,10,0.5
AARD,-0.12324168160247057,24,0,0,0.9
AAT,0.15101933984536348,86,0,0,0.0
AAUC,-0.1728817843603924,17,1,4,0.95
AB,-0.08497774492459148,30,1,8,0.95
ABAT,-0.1542376475168866,19,1,7,0.5
ABBV,0.09970787496968089,80,0,0,0.25
ABCB,0.041270622039256445,69,0,0,0.4
ABCL,0.2659674560815862,92,0,0,0.25
ABEO,0.05194196947667049,72,0,0,0.4
ABEV,-0.005948275104776149,56,0,0,0.65
ABG,0.011795872925680267,62,0,0,0.45
ABLV,0.26314412681424,92,0,0,0.0
ABM,0.07576284795979721,76,0,0,0.4
ABNB,-0.014308570475330021,53,0,0,0.65
ABOS,-0.1107022616856837,26,0,0,0.65
ABR,-0.25370228836019443,9,1,32,1.0
ABSI,0.8079827009547996,98,0,0,0.0
ABT,-0.044129814605119264,39,0,0,0.6
ABTC,-0.35449083377452656,5,1,32,1.0
ABTS,0.05954667344385683,73,1,11,0.75
ABUS,-0.025955237823368463,46,0,0,0.55
ABVC,0.10635583136291932,81,0,0,0.1
ABVX,-0.2078520285908255,13,1,15,0.75
ABX,0.03133154554649433,67,0,0,0.5
ACA,0.22543905986781004,90,0,0,0.35
ACAD,0.020422355496351692,64,0,0,0.65
ACB,-0.23230686804466893,11,1,15,0.85
ACCL,0.13610679119282093,84,0,0,0.3
ACCO,0.11659385485536133,82,0,0,0.35
ACCS,-0.09050858347806275,29,0,0,0.95
ACDC,-0.17483445332017236,16,1,6,0.7
ACEL,0.08463327084369068,78,0,0,0.35
ACET,0.025651883610784208,65,0,0,0.45
ACFN,-0.11913554326760417,24,1,3,0.95
ACGL,-0.05175994743021574,38,0,0,0.85
ACGLN,-0.07130896346291041,33,1,58,1.0
ACGLO,-0.06825822243123136,34,1,58,1.0
ACH,0.1259476495808401,83,0,0,0.6
ACHC,-0.02220944315547657,49,0,0,0.7
ACHR,-0.16270236602047203,18,1,13,0.65
ACHV,0.11749863364908517,82,1,3,0.3
ACI,-0.18926381571192327,15,1,10,0.9
ACIC,-0.051153241774394106,38,0,0,0.85
ACIU,-0.18963363334663247,15,0,0,0.9
ACIW,0.028540072230470878,66,0,0,0.45
ACLS,0.29664377039841233,93,0,0,0.15
ACM,-0.1322531800268069,22,1,77,1.0
ACMR,0.6500007301412215,97,0,0,0.0
ACN,-0.34425186849813855,5,1,14,0.85
ACNB,0.12022493544213492,83,0,0,0.25
ACNT,-0.021587534322026952,50,0,0,0.7
ACOG,0.043982285526347774,70,0,0,0.5
ACON,-0.16884553009820735,17,1,10,0.7
ACP,-0.030404810765905746,43,1,8,0.9
ACR,-0.1144010319452643,25,1,29,1.0
ACRE,-0.11268497425922713,25,1,7,0.75
ACRS,0.12313608225371575,83,0,0,0.75
ACRV,-0.12251257730437085,24,0,0,0.9
ACT,-0.010462607338326296,55,0,0,0.55
ACTG,-0.022620582238170123,49,0,0,0.7
ACTU,-0.26456279228577345,8,1,27,1.0
ACU,0.013484385395523879,62,0,0,0.35
ACV,0.033387659348819036,67,0,0,0.1
ACVA,0.16500989288808088,87,0,0,0.25
ACXP,-0.4072632326484969,3,1,56,1.0
AD,-0.0529581764337994,37,1,6,0.7
ADACU,-0.01030686277498323,55,0,0,0.5
ADAG,0.014207021614290813,63,0,0,0.6
ADAM,0.10933915164464375,81,0,0,0.2
ADAML,-0.012966450975405587,54,0,0,0.6
ADAMM,-0.02042860468946829,50,0,0,0.65
ADAMN,0.012910060659834396,62,0,0,0.55
ADAMZ,0.005637323838292116,60,0,0,0.45
ADBE,-0.2345225789671369,11,1,11,0.7
ADC,-0.04508486016621648,39,0,0,0.75
ADCT,-0.7195333587781687,1,1,44,1.0
ADEA,0.09594293575467427,79,1,1,0.3
ADGM,-0.38155650553925047,4,1,40,1.0
ADI,0.08447650651701705,78,1,1,0.35
ADIL,0.2889896606165177,92,0,0,0.0
ADM,0.01632800721222557,63,1,6,0.4
ADMA,-0.15022950716319428,19,0,0,0.75
ADNT,-0.0585004131631727,36,1,5,0.35
ADP,0.01731447521950113,63,0,0,0.4
ADPT,0.20761500326760654,89,0,0,0.05
ADSE,-0.06939336930828083,34,1,6,0.9
ADSK,-0.25546662238338247,9,1,15,0.95
ADT,-0.0838017519085219,30,1,6,0.9
ADTN,-0.04605651976540102,39,1,12,0.6
ADTX,-1.0107866342319602,0,1,103,1.0
ADUR,0.08927354020895997,78,1,2,0.4
ADUS,-0.017838326416349973,52,0,0,0.5
ADV,0.23388412531926273,91,0,0,0.35
ADVB,0.12155252996509475,83,0,0,0.65
ADX,0.011704202564445883,62,0,0,0.35
ADXN,-0.06784248551066707,34,0,0,0.85
AEAQU,-0.022848776314314083,48,0,0,0.6
AEBI,0.053112316374745054,72,0,0,0.3
AEC,-0.13247060326021204,22,1,1,0.9
AEE,0.0016292810389797394,59,0,0,0.55
AEF,0.07361768967096832,76,0,0,0.25
AEG,0.06246650888642578,74,0,0,0.4
AEHL,-0.20454012985850012,13,1,22,1.0
AEHR,0.3976645448379388,95,1,1,0.3
AEI,-0.2596832986651623,9,1,25,1.0
AEIS,0.04572237313220746,70,0,0,0.6
AEM,-0.16765674415794646,17,1,3,0.9
AEMD,-0.40955683164776585,3,1,15,0.8
AENT,-0.1355240296465814,22,0,0,0.95
AEO,0.001765249727046135,59,0,0,0.3
AEON,-0.294325800726836,7,1,40,1.0
AEP,0.003803196563816065,59,0,0,0.7
AER,0.03042087111570308,67,0,0,0.6
AERO,0.12009280880845999,83,0,0,0.15
AERT,0.5369269778493643,96,0,0,0.15
AES,-0.009118051669731612,55,0,0,0.6
AESI,-0.030284740535704582,43,1,12,0.9
AEVA,0.25673589600404667,91,0,0,0.05
AEXA,-0.048122875013035055,39,1,7,0.9
AEYE,-0.15653127325600277,18,1,14,0.75
AFB,0.02147112782276097,64,0,0,0.4
AFBI,0.007030971278686501,60,0,0,0.6
AFCG,-0.004869462206599187,57,1,7,0.35
AFG,0.0021962239688807714,59,0,0,0.55
AFJK,-0.21895767299308316,12,1,9,0.9
AFJKU,-0.27702177168065056,8,1,14,0.9
AFL,0.01045591340971485,61,0,0,0.5
