ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
A,0.03493355722774723,71,0,0,0.35,0.1654
AA,-0.34319597888088893,5,1,21,1.0,0.418
AACB,-0.036341125283620435,46,1,9,0.65,0.1513
AACBU,-0.06198147126065109,35,1,9,0.95,0.1679
AACG,-0.13896166881265498,20,1,6,0.95,0.2834
AAL,0.23659494397603403,92,0,0,0.0,0.0841
AAME,-0.221611419047521,11,1,48,1.0,0.4986
AAMI,0.10643491070164107,83,0,0,0.5,0.0336
AAOI,-0.25435177488047944,9,1,17,0.95,
AAON,-0.10661211726893693,26,1,10,0.75,0.2321
AAP,-0.041243057293308114,42,1,5,0.35,0.1075
AAPG,-0.0260242724963647,51,0,0,0.65,0.3666
AAPL,0.06379745743270548,77,0,0,0.7,0.0071
AARD,0.8263663072736125,98,0,0,0.3,
AAT,0.09870783470193406,82,0,0,0.0,0.0367
AAUC,-0.20143735020592562,13,1,16,0.95,0.3701
AB,-0.058085460823961564,36,0,0,0.85,0.1808
ABAT,-0.20462589310165466,13,1,19,0.95,0.5495
ABBV,0.11110751075881498,84,0,0,0.1,0.0626
ABCB,0.013305618593437582,64,0,0,0.05,0.0385
ABCL,0.38222384690851824,96,1,1,0.25,0.178
ABEO,0.223991074239907,92,0,0,0.1,0.0239
ABEV,-0.07433886096330312,32,1,8,0.6,0.1368
ABG,0.010391783879380528,63,0,0,0.1,0.2456
ABLV,0.1290713747171281,86,1,3,0.2,0.1461
ABM,0.026262132543099503,68,0,0,0.0,0.143
ABNB,0.06704372234367811,77,0,0,0.1,0.0335
ABOS,0.07427411093908728,78,0,0,0.3,0.3059
ABR,-0.2139788329027028,12,1,9,0.95,0.4505
ABSI,0.9896680384305749,98,0,0,0.0,0.1001
ABT,-0.011038445061546678,57,0,0,0.3,0.3087
ABTC,-0.6146097703740327,1,1,44,1.0,0.8002
ABTS,-0.0502754650067397,38,1,23,1.0,
ABUS,0.07581152554848275,79,0,0,0.15,0.0938
ABVC,0.16656957045929147,88,1,2,0.2,0.373
ABVX,0.201583428162467,90,0,0,0.6,0.0536
ABX,0.22017007008443024,91,0,0,0.05,0.0787
ACA,0.1191832162471998,85,0,0,0.0,0.031
ACAD,0.13983180400902367,86,0,0,0.25,0.1348
ACB,-0.2488963152556642,9,1,27,1.0,0.4445
ACCL,0.18030065606937898,89,0,0,0.0,0.4682
